district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Amador County Unified,Amador High,330 Spanish Street Sutter Creek CA 95685-9701,6.9,ppb,TRUE,tested,Sutter Creek,Amador County,38.3987968151248,-120.809836688249
Amador County Unified,Argonaut High,501 Argonaut Lane Jackson CA 95642-2020,NA,NA,FALSE,tested,Jackson,Amador County,38.363358,-120.790022
Amador County Unified,Independence High (Continuation),525 Independence Drive Sutter Creek CA 95685-9669,NA,NA,FALSE,tested,Sutter Creek,Amador County,38.3771716,-120.8080483
Amador County Unified,Ione Elementary,415 South Ione Street Ione CA 95640-2020,NA,NA,FALSE,tested,Ione,Amador County,38.3511596142773,-120.93199775571
Amador County Unified,Ione Junior High,450 Mill Street Ione CA 95640,NA,NA,FALSE,tested,NA,NA,NA,NA
Amador County Unified,Jackson Elementary,220 Church Street Jackson CA 95642-2020,NA,NA,FALSE,tested,Jackson,Amador County,38.3506737831223,-120.773160717632
Amador County Unified,Jackson Junior High,747 Sutter Street Jackson CA 95642-2020,NA,NA,FALSE,tested,Jackson,Amador County,38.3533649044645,-120.780071999602
Amador County Unified,Pine Grove Elementary STEM Magnet,20101 State Highway 88 Pinegrove CA 95665,NA,NA,FALSE,tested,NA,NA,NA,NA
Amador County Unified,Pioneer Magnet School for the Visual and Performing Arts,24625 Highway 88 Pioneer CA 95666,5.9,ppb,TRUE,tested,NA,NA,NA,NA
Amador County Unified,Plymouth Elementary,10601 Sherwood Plymouth CA 95669,NA,NA,FALSE,tested,Plymouth,Amador County,38.4794519,-120.8513806
Amador County Unified,Sutter Creek Elementary,340 Spanish Street Sutter Creek CA 95685-9701,6.4,ppb,TRUE,tested,Sutter Creek,Amador County,38.3988136302495,-120.809929376497
Amador County Unified,Sutter Creek Primary,110 Broad Street Sutter Creek CA 95685,NA,NA,FALSE,tested,Sutter Creek,Amador County,38.394792779661,-120.801527610169
