district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Santa Ana Unified,Abraham Lincoln Elementary,425 South Sullivan Santa Ana CA 92704-1631,NA,NA,FALSE,tested,Santa Ana,Orange County,33.7413512785909,-117.902470422399
Santa Ana Unified,Adams Elementary,2130 South Raitt Street Santa Ana CA 92704-5001,NA,NA,FALSE,tested,Santa Ana,Orange County,33.719,-117.896176
Santa Ana Unified,Advanced Learning Academy,335 East Walnut Avenue Santa Ana CA 92701,NA,NA,FALSE,tested,NA,NA,NA,NA
Santa Ana Unified,Andrew Jackson Elementary,1143 South Nakoma Drive Santa Ana CA 92704-3030,NA,NA,FALSE,tested,Santa Ana,Orange County,33.7331256033451,-117.909589257525
Santa Ana Unified,Broadway/ Headstart,321 W Washington St Santa Ana CA 92706,NA,NA,FALSE,tested,NA,NA,NA,NA
Santa Ana Unified,Carl Harvey Elementary,1635 South Center Street Santa Ana CA 92704-4111,6.2,ppb,TRUE,tested,Santa Ana,Orange County,33.7252181277068,-117.89806622306
Santa Ana Unified,Century High,1401 South Grand Avenue Santa Ana CA 92705-4408,NA,NA,FALSE,tested,Santa Ana,Orange County,33.7091563,-117.8518628
Santa Ana Unified,Cesar E. Chavez High,2128 South Cypress Santa Ana CA 92707-3244,NA,NA,FALSE,tested,NA,NA,NA,NA
Santa Ana Unified,Community Day Intermediate and High,804 N Fairview Street Santa Ana CA 92703,NA,NA,NA,not tested,Santa Ana,Orange County,33.7544,-117.9026
Santa Ana Unified,Diamond Elementary,1450 South Center Street Santa Ana CA 92704-3660,NA,NA,FALSE,tested,Santa Ana,Orange County,33.728023126782404,-117.898244266032
Santa Ana Unified,Douglas MacArthur Fundamental Intermediate,600 West Alton Avenue Santa Ana CA 92707-4073,NA,NA,FALSE,tested,Santa Ana,Orange County,33.7053465772218,-117.874863466773
Santa Ana Unified,Edward B. Cole Academy,333 East Walnut Street Santa Ana CA 92701-5928,NA,NA,FALSE,tested,Santa Ana,Orange County,33.744509,-117.86463
Santa Ana Unified,El Sol Santa Ana Science and Arts Academy,1010 North Broadway Street Santa Ana CA 92701-3408,NA,NA,NA,not tested,NA,NA,NA,NA
Santa Ana Unified,Franklin Elementary,210 West Cubbon Santa Ana CA 92701-5649,NA,NA,FALSE,tested,NA,NA,NA,NA
Santa Ana Unified,Frederick Remington Elementary,1325 East Fourth Street Santa Ana CA 92701-5111,NA,NA,FALSE,tested,NA,NA,NA,NA
Santa Ana Unified,Fremont Elementary,1930 West 10th Street Santa Ana CA 92703-2045,NA,NA,FALSE,tested,Santa Ana,Orange County,33.7533299266462,-117.895924212555
Santa Ana Unified,Garfield Elementary,850 East Brown Street Santa Ana CA 92701-3902,NA,NA,FALSE,tested,NA,NA,NA,NA
Santa Ana Unified,George Washington Carver Elementary,1401 West Santa Ana Boulevard Santa Ana CA 92703-3708,NA,NA,FALSE,tested,Santa Ana,Orange County,33.7479482,-117.8869213
Santa Ana Unified,Gerald P. Carr Intermediate,2120 West Edinger Street Santa Ana CA 92704-4106,NA,NA,FALSE,tested,NA,NA,NA,NA
