district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Conejo Valley Unified,Acacia Elementary,55 Norman Avenue Thousand Oaks CA 91360-3599,NA,NA,FALSE,tested,Thousand Oaks,Ventura County,34.1967854,-118.8714384
Conejo Valley Unified,Aspen Elementary,1870 Oberlin Avenue Thousand Oaks CA 91360-2099,NA,NA,FALSE,tested,Thousand Oaks,Ventura County,34.202975,-118.883564
Conejo Valley Unified,Banyan Elementary,1120 Knollwood Drive Newbury Park CA 91320-5599,NA,NA,FALSE,tested,NA,NA,NA,NA
Conejo Valley Unified,Century Academy,1025 Old Farm School Road Thousand Oaks CA 91360-4941,NA,NA,NA,not tested,NA,NA,NA,NA
Conejo Valley Unified,Colina Middle,1500 East Hillcrest Drive Thousand Oaks CA 91362-2599,NA,NA,NA,not tested,Thousand Oaks,Ventura County,34.1821556521739,-118.853861217391
Conejo Valley Unified,Conejo Elementary,280 North Conejo School Road Thousand Oaks CA 91362-3199,NA,NA,NA,not tested,NA,NA,NA,NA
Conejo Valley Unified,Conejo Valley High (Continuation),1872 Newbury Road Newbury Park CA 91320-3495,NA,NA,NA,not tested,Thousand Oaks,Ventura County,34.1838652677499,-118.920307149331
Conejo Valley Unified,Cypress Elementary,4200 Kimber Drive Newbury Park CA 91320-4898,NA,NA,FALSE,tested,NA,NA,NA,NA
Conejo Valley Unified,Environmental Academy of Research Technology and Earth Sciences,2626 Michael Drive Newbury Park CA 91320-3252,NA,NA,FALSE,tested,Thousand Oaks,Ventura County,34.1830724736842,-118.931955042105
Conejo Valley Unified,Glenwood Elementary,1135 Windsor Drive Thousand Oaks CA 91360-5228,NA,NA,NA,not tested,Thousand Oaks,Ventura County,34.1937312613016,-118.865687023203
Conejo Valley Unified,Ladera Elementary,1211 Calle Almendro Thousand Oaks CA 91360-6499,NA,NA,NA,not tested,Thousand Oaks,Ventura County,34.2172533660772,-118.857666657529
Conejo Valley Unified,Lang Ranch,2450 Whitechapel Place Thousand Oaks CA 91362-5399,NA,NA,NA,not tested,Thousand Oaks,Ventura County,34.2200372040816,-118.83268044898
Conejo Valley Unified,Los Cerritos Middle,2100 Avenida de las Flores Thousand Oaks CA 91362-1599,NA,NA,NA,not tested,NA,NA,NA,NA
Conejo Valley Unified,Madrona Elementary,612 Camino Manzanas Thousand Oaks CA 91360-2199,NA,NA,FALSE,tested,Thousand Oaks,Ventura County,34.1988326038173,-118.892335796809
Conejo Valley Unified,Maple Elementary,3501 Kimber Drive Newbury Park CA 91320-4399,NA,NA,FALSE,tested,NA,NA,NA,NA
Conejo Valley Unified,Newbury Park High,456 North Reino Road Newbury Park CA 91320-3798,NA,NA,FALSE,tested,NA,NA,NA,NA
Conejo Valley Unified,Redwood Middle,233 West Gainsborough Road Thousand Oaks CA 91360-3499,NA,NA,FALSE,tested,Thousand Oaks,Ventura County,34.196822,-118.882641
Conejo Valley Unified,Sequoia Middle,2855 Borchard Road Newbury Park CA 91320-3898,NA,NA,FALSE,tested,Thousand Oaks,Ventura County,34.1791721,-118.936209
Conejo Valley Unified,Sycamore Canyon,4601 Via Rio Newbury Park CA 91320-6872,NA,NA,FALSE,tested,NA,NA,NA,NA
Conejo Valley Unified,Thousand Oaks High,2323 North Moorpark Road Thousand Oaks CA 91360-3198,NA,NA,FALSE,tested,Thousand Oaks,Ventura County,34.2111341,-118.870509164903
Conejo Valley Unified,Walnut Elementary,581 Dena Drive Newbury Park CA 91320-2999,NA,NA,FALSE,tested,Thousand Oaks,Ventura County,34.1859638347701,-118.945519788749
Conejo Valley Unified,Weathersfield Elementary,3151 Darlington Drive Thousand Oaks CA 91360-4593,NA,NA,NA,not tested,Thousand Oaks,Ventura County,34.2250343877089,-118.866374076969
Conejo Valley Unified,Westlake Elementary,1571 East Potrero Road Westlake Village CA 91361-1529,NA,NA,FALSE,tested,Thousand Oaks,Ventura County,34.143244,-118.853415
Conejo Valley Unified,Westlake High,100 North Lakeview Canyon Road Westlake Village CA 91362-3895,NA,NA,FALSE,tested,NA,NA,NA,NA
Conejo Valley Unified,Westlake Hills Elementary,3333 Medicine Bow Court Westlake Village CA 91362-3545,NA,NA,FALSE,tested,Thousand Oaks,Ventura County,34.1680168575747,-118.828452136995
Conejo Valley Unified,Wildwood Elementary,620 West Velarde Drive Thousand Oaks CA 91360-1399,NA,NA,FALSE,tested,Thousand Oaks,Ventura County,34.2156304,-118.893234476792
